agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-text,overall,all,all,0.88,0.78,0.77,0.75,105,90,15,132,15
gemini-text,macro_avg,rigidity,all,0.90,0.57,0.57,0.57,21,18,3,39,3
gemini-text,per_class,rigidity,+R,0.90,0.87,1.00,0.93,13,13,2,6,0
gemini-text,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,20,1
gemini-text,per_class,rigidity,~R,0.86,0.83,0.71,0.77,7,5,1,13,2
gemini-text,macro_avg,identity,all,0.90,0.75,0.95,0.81,21,19,2,19,2
gemini-text,per_class,identity,+I,0.90,1.00,0.89,0.94,19,17,0,2,2
gemini-text,per_class,identity,-I,0.90,0.50,1.00,0.67,2,2,2,17,0
gemini-text,macro_avg,own_identity,all,0.76,0.77,0.78,0.76,21,16,5,16,5
gemini-text,per_class,own_identity,+O,0.76,0.90,0.69,0.78,13,9,1,7,4
gemini-text,per_class,own_identity,-O,0.76,0.64,0.88,0.74,8,7,4,9,1
gemini-text,macro_avg,unity,all,0.94,0.89,0.81,0.81,21,19,2,40,2
gemini-text,per_class,unity,+U,0.95,1.00,0.93,0.97,15,14,0,6,1
gemini-text,per_class,unity,-U,0.90,0.67,1.00,0.80,4,4,2,15,0
gemini-text,per_class,unity,~U,0.95,1.00,0.50,0.67,2,1,0,19,1
gemini-text,macro_avg,dependence,all,0.86,0.92,0.75,0.79,21,18,3,18,3
gemini-text,per_class,dependence,+D,0.86,1.00,0.50,0.67,6,3,0,15,3
gemini-text,per_class,dependence,-D,0.86,0.83,1.00,0.91,15,15,3,3,0
