agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
gemini-corrected,overall,all,all,0.89,0.81,0.78,0.76,105,91,14,133,14
gemini-corrected,macro_avg,rigidity,all,0.90,0.57,0.57,0.57,21,18,3,39,3
gemini-corrected,per_class,rigidity,+R,0.90,0.87,1.00,0.93,13,13,2,6,0
gemini-corrected,per_class,rigidity,-R,0.95,0.00,0.00,0.00,1,0,0,20,1
gemini-corrected,per_class,rigidity,~R,0.86,0.83,0.71,0.77,7,5,1,13,2
gemini-corrected,macro_avg,identity,all,0.95,0.83,0.97,0.89,21,20,1,20,1
gemini-corrected,per_class,identity,+I,0.95,1.00,0.95,0.97,19,18,0,2,1
gemini-corrected,per_class,identity,-I,0.95,0.67,1.00,0.80,2,2,1,18,0
gemini-corrected,macro_avg,own_identity,all,0.71,0.79,0.77,0.71,21,15,6,15,6
gemini-corrected,per_class,own_identity,+O,0.71,1.00,0.54,0.70,13,7,0,8,6
gemini-corrected,per_class,own_identity,-O,0.71,0.57,1.00,0.73,8,8,6,7,0
gemini-corrected,macro_avg,unity,all,0.97,0.93,0.83,0.85,21,20,1,41,1
gemini-corrected,per_class,unity,+U,1.00,1.00,1.00,1.00,15,15,0,6,0
gemini-corrected,per_class,unity,-U,0.95,0.80,1.00,0.89,4,4,1,16,0
gemini-corrected,per_class,unity,~U,0.95,1.00,0.50,0.67,2,1,0,19,1
gemini-corrected,macro_avg,dependence,all,0.86,0.92,0.75,0.79,21,18,3,18,3
gemini-corrected,per_class,dependence,+D,0.86,1.00,0.50,0.67,6,3,0,15,3
gemini-corrected,per_class,dependence,-D,0.86,0.83,1.00,0.91,15,15,3,3,0
