agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_gemini_COPRO_gpt4o-mini,overall,all,all,0.69,0.52,0.57,0.51,110,68,39,115,42
dspy_gemini_COPRO_gpt4o-mini,macro_avg,rigidity,all,0.58,0.24,0.49,0.24,22,8,14,30,14
dspy_gemini_COPRO_gpt4o-mini,per_class,rigidity,+R,0.45,0.64,0.47,0.54,15,7,4,3,8
dspy_gemini_COPRO_gpt4o-mini,per_class,rigidity,-R,0.55,0.09,1.0,0.17,1,1,10,11,0
dspy_gemini_COPRO_gpt4o-mini,per_class,rigidity,~R,0.73,0.0,0.0,0.0,6,0,0,16,6
dspy_gemini_COPRO_gpt4o-mini,macro_avg,identity,all,0.82,0.67,0.75,0.69,22,18,4,18,4
dspy_gemini_COPRO_gpt4o-mini,per_class,identity,-I,0.82,0.4,0.67,0.5,3,2,3,16,1
dspy_gemini_COPRO_gpt4o-mini,per_class,identity,+I,0.82,0.94,0.84,0.89,19,16,1,2,3
dspy_gemini_COPRO_gpt4o-mini,macro_avg,own_identity,all,0.61,0.63,0.55,0.59,22,12,7,15,10
dspy_gemini_COPRO_gpt4o-mini,per_class,own_identity,+O,0.55,0.64,0.54,0.58,13,7,4,5,6
dspy_gemini_COPRO_gpt4o-mini,per_class,own_identity,-O,0.68,0.62,0.56,0.59,9,5,3,10,4
dspy_gemini_COPRO_gpt4o-mini,macro_avg,unity,all,0.85,0.52,0.55,0.53,22,17,5,39,5
dspy_gemini_COPRO_gpt4o-mini,per_class,unity,+U,0.86,0.86,0.92,0.89,13,12,2,7,1
dspy_gemini_COPRO_gpt4o-mini,per_class,unity,~U,0.86,0.0,0.0,0.0,2,0,1,19,2
dspy_gemini_COPRO_gpt4o-mini,per_class,unity,-U,0.82,0.71,0.71,0.71,7,5,2,13,2
dspy_gemini_COPRO_gpt4o-mini,macro_avg,dependence,all,0.59,0.52,0.52,0.51,22,13,9,13,9
dspy_gemini_COPRO_gpt4o-mini,per_class,dependence,-D,0.59,0.79,0.65,0.71,17,11,3,2,6
dspy_gemini_COPRO_gpt4o-mini,per_class,dependence,+D,0.59,0.25,0.4,0.31,5,2,6,11,3
